price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,subway,district
81009,59.87,2,1,1,1,7,4,1995,3,2,0,0,7
70143,57.74,2,1,1,1,6,4,1990,3,2,0,1,10
90266,56.5,2,1,1,1,5,4,1973,3,2,0,1,10
25902,104.24,2,1,1,1,19,3,2006,1,6,1,1,4
76159,60.4,2,1,1,1,6,4,1986,3,2,0,1,8
81899,81.32,2,1,1,1,24,4,2011,1,6,1,1,7
69474,48.22,1,1,1,1,6,4,1996,3,2,0,1,8
60622,155.06,3,2,1,2,29,1,2005,4,6,1,1,2
42530,89.35,2,1,1,1,6,4,2008,4,2,0,0,6
50883,144.45,3,2,1,2,14,3,2010,4,6,1,1,11
33857,88.61,3,2,1,1,16,4,2014,4,6,0,0,11
88475,61.6,2,1,1,1,16,1,1992,3,6,1,1,8
64898,155.63,3,1,1,2,28,3,2003,4,6,1,1,7
43828,90.81,2,1,1,1,5,4,2000,4,2,0,0,6
60000,37,1,1,1,1,15,1,1991,3,6,1,1,2
87391,258.61,4,1,2,2,16,1,2009,4,6,1,1,1
39071,83.95,2,1,1,1,21,4,2014,4,6,1,1,5
51622,61.99,2,1,1,1,6,4,1994,4,2,0,1,7
42261,60.34,2,1,1,1,6,4,1999,3,2,0,0,9
97163,51.46,1,1,1,1,20,1,1992,3,6,1,1,8
39039,64.04,2,1,1,1,6,4,1998,4,2,0,0,4
53982,74.1,2,2,1,1,6,4,2004,4,2,0,0,7
68494,102.2,2,2,1,1,26,3,2009,4,6,1,1,7
55882,52.79,2,1,1,1,6,4,1979,3,2,0,1,7
56923,84.15,2,1,1,1,28,1,2009,3,6,1,1,7
47164,74.21,1,1,1,1,12,3,2003,4,6,1,0,11
44533,88.7,2,1,1,1,10,3,2010,4,6,1,0,2
71628,62.49,2,1,1,1,6,4,1991,4,2,0,0,7
26184,87.84,2,1,1,1,6,4,2012,3,6,0,0,4
36447,58.71,2,1,1,1,6,4,1990,3,2,0,0,6
48772,53.31,1,1,1,1,22,1,2009,4,6,1,0,11
123047,51.2,2,1,1,1,7,4,1990,4,2,0,1,10
81125,55.47,2,1,1,1,6,4,1989,4,2,0,1,10
42516,51.04,1,1,1,1,6,1,1997,3,2,0,0,4
63487,58.28,1,1,1,1,24,1,1998,3,6,1,0,7
94593,66.02,1,2,1,1,15,4,2006,1,6,1,1,7
52216,63.2,1,1,1,1,11,3,2011,4,6,0,0,6
71749,49.13,1,0,1,1,22,1,2007,4,6,0,0,7
34462,81.83,2,1,1,1,6,4,2003,4,2,0,0,6
84000,62.5,2,1,1,1,12,3,1998,4,6,0,1,10
71577,48.2,1,1,1,1,6,4,1994,4,2,0,1,7
53671,52.17,1,1,1,1,22,3,2005,4,6,1,0,2
70158,39.91,1,1,1,1,16,4,1985,4,6,1,1,7
37314,117.92,2,2,1,2,6,4,2002,4,2,0,1,4
81491,87.74,2,1,1,1,20,1,2003,4,6,1,0,10
92575,104.78,2,1,1,1,13,3,1999,3,6,1,1,10
62001,46.29,1,1,1,1,23,1,2003,4,6,1,1,7
80887,73.56,1,2,1,1,21,4,2006,4,6,1,0,7
50492,75.26,2,1,1,1,11,3,2007,4,6,1,1,13
33059,110.41,3,1,1,1,6,4,2002,4,2,0,0,13
38704,130.22,3,2,1,2,12,4,2008,4,6,1,0,6
60245,103.91,3,1,1,2,18,4,2009,4,6,1,1,7
44849,90.75,2,1,1,1,18,3,2006,3,6,1,1,7
51826,76.41,2,1,1,1,28,3,2008,4,6,1,1,7
59775,71.1,2,1,1,1,25,1,1990,3,6,1,1,2
53029,66.38,2,1,1,1,6,4,1995,3,2,0,1,9
90272,69.9,3,1,1,1,16,1,1992,3,6,1,1,8
71032,46.74,1,1,1,1,6,4,1996,4,2,0,1,7
86444,57.61,2,1,1,1,6,4,1994,3,2,0,1,7
40647,54.74,2,1,1,1,6,4,1993,3,2,0,1,4
41517,91.53,2,2,1,1,21,4,2012,1,6,1,0,6
71328,56.78,1,1,1,1,26,3,2006,4,6,1,1,9
55917,101.58,2,1,1,1,29,1,2002,4,6,1,1,2
72626,35.8,1,1,1,1,5,4,1984,3,2,0,1,8
57989,50.7,3,1,1,1,4,4,1970,4,2,0,1,8
60590,55.95,2,1,1,1,6,1,1986,3,2,0,1,7
55384,90.28,2,1,1,1,28,1,2009,4,6,1,1,7
44313,95.91,4,1,1,2,30,4,2014,4,6,1,1,4
36747,99.33,3,1,1,1,6,4,2003,1,2,0,0,13
70708,49.5,2,1,1,1,6,4,1992,1,2,0,1,8
102856,73.89,1,1,1,1,14,3,2005,4,6,1,1,10
67672,63.69,1,1,1,1,16,1,2008,4,6,1,1,7
45974,73.52,2,1,1,1,12,3,1996,3,6,1,0,9
62966,56.38,1,1,1,1,13,3,2005,3,6,1,1,1
102593,40.5,1,1,1,1,20,1,1992,3,2,1,1,10
53148,107.06,3,1,1,1,18,3,1997,3,6,1,1,7
60626,63.67,2,1,1,1,6,4,1990,4,6,0,1,2
60274,58.4,2,1,1,1,6,4,1989,4,2,0,1,2
64390,86.66,3,1,1,1,6,4,1995,4,2,0,0,8
45531,89.39,3,1,1,1,21,4,2011,4,6,0,0,7
58163,101.44,3,1,1,1,16,1,1996,1,6,1,1,7
44524,53.68,1,1,1,1,22,1,2009,3,6,1,0,11
38935,49.57,1,0,1,1,15,4,2009,4,6,1,1,5
56663,75.27,2,1,1,1,6,4,2004,4,2,0,1,2
95638,76.33,2,1,1,1,6,4,2003,3,6,0,1,1
32773,100.39,3,2,1,2,9,3,2014,4,6,0,0,4
54602,183.51,4,1,1,2,19,1,1995,3,6,1,1,7
87931,70.51,2,1,1,1,6,4,2004,3,6,0,1,1
77923,44.66,1,0,1,1,27,1,2006,4,6,1,1,7
43124,117.57,3,1,1,2,6,4,2004,1,2,0,1,6
142120,36.8,1,1,1,1,20,1,1992,2,2,1,1,10
46225,71.39,2,2,1,1,6,4,1999,3,4,0,0,7
45818,65.04,1,1,1,1,15,3,2010,4,6,1,0,6
94988,60.85,2,1,1,1,6,4,1985,3,2,0,1,1
52534,69.48,1,1,1,1,27,3,2009,4,6,1,0,7
118007,32.71,1,1,1,2,12,1,2005,4,6,1,1,10
69710,83.92,3,1,1,1,25,1,1991,3,6,1,0,7
38657,75.02,2,1,1,1,6,4,2000,3,2,0,0,9
37237,101.11,2,2,1,2,6,4,2000,4,2,0,0,6
66808,42.51,1,1,1,1,18,4,2004,3,6,1,0,2
51541,33.76,1,0,1,1,18,3,2010,4,6,1,0,6
37842,102.27,2,1,1,1,20,1,2008,4,6,1,0,6
93767,38.5,1,1,1,1,4,4,1979,3,2,0,1,1
47454,97.78,2,2,1,1,14,4,2010,4,6,1,0,11
39886,66.44,2,1,1,1,6,4,1994,4,2,0,0,7
63765,58.81,2,1,1,1,12,3,1992,4,6,1,1,2
40022,55.72,1,1,1,1,6,4,1989,3,2,0,1,13
46894,110.89,3,2,1,2,3,4,1995,4,2,0,0,13
45294,89.99,2,1,1,1,12,3,2005,4,6,1,0,11
70482,83,3,1,1,1,17,3,1987,1,6,1,0,8
49459,57.22,2,1,1,1,6,4,1989,3,2,0,1,13
83311,74.42,3,1,1,1,5,4,1976,3,2,0,1,1
48193,132.8,4,2,1,1,6,4,2000,1,2,0,0,8
29152,87.13,2,1,1,1,22,3,2008,4,6,1,0,11
28565,129.88,3,2,1,1,6,4,1999,4,2,0,0,6
42764,97.98,2,1,1,1,24,1,2004,3,6,1,1,11
47990,95.23,2,1,1,1,22,1,2003,3,6,1,1,2
39615,97.44,2,1,1,2,6,4,2004,4,2,0,0,6
41579,89.47,2,1,1,1,24,1,2010,4,6,1,1,7
47764,76,2,1,1,1,26,4,2015,1,6,1,1,4
33002,114.54,2,2,1,2,6,4,2000,4,2,0,0,6
68530,60.12,2,1,1,1,6,4,1979,3,2,0,1,7
24771,88.41,2,1,1,1,6,4,2012,1,6,0,0,4
39728,55.88,2,1,1,1,6,4,1997,3,2,0,1,4
65198,64.42,2,1,1,1,6,4,1994,1,2,0,0,7
44419,119.32,3,1,1,1,6,4,2006,1,2,0,1,6
59585,95.83,3,1,1,1,20,3,2014,4,6,1,1,6
20128,94.4,2,2,1,1,6,4,1998,4,2,0,1,6
45432,78.03,3,1,1,1,18,4,2009,1,6,1,0,6
50547,60.34,1,1,1,1,18,1,1999,4,6,1,1,2
92269,46.82,2,1,1,1,6,4,1997,4,2,0,1,10
50214,82.05,2,1,1,1,9,4,2009,1,6,1,0,6
51028,58.4,2,1,1,1,6,4,1993,3,2,0,0,7
42718,94.81,2,2,1,2,6,4,2004,3,2,0,0,11
37412,85,3,2,1,2,6,4,2007,4,2,0,0,13
41699,66.43,1,1,1,1,9,4,2006,2,6,1,0,7
121191,42,1,1,1,1,6,4,1985,1,2,0,0,10
37495,46.14,1,1,1,1,6,4,1990,3,2,0,0,12
102970,108.77,3,1,1,2,6,4,2005,1,6,0,1,10
63468,64.6,2,1,1,1,25,1,1995,1,6,1,1,2
48934,68.46,2,1,1,1,12,3,2003,1,2,1,0,6
39697,33,1,1,1,1,5,4,1984,1,2,0,0,6
35501,98.59,2,1,1,1,16,1,2001,4,2,1,0,6
72199,43.63,1,1,1,1,18,1,1989,1,6,1,1,7
80729,75.19,2,1,1,1,22,1,2003,1,6,1,0,8
36341,70.72,2,1,1,1,6,4,1997,1,2,0,1,13
41822,88.95,2,1,1,1,6,4,2001,1,2,0,0,6
